step,input,h0,h1,h2
0,a,0.5191438794136047,-0.4378613233566284,0.37057510018348694
1,a,0.787750244140625,-0.5203842520713806,0.4807610809803009
2,b,0.8041349053382874,0.3320472240447998,0.10828897356987
3,b,0.6398522257804871,0.7630652189254761,0.14281974732875824
4,b,0.17291761934757233,0.874016284942627,0.19194312393665314
5,b,-0.5412980914115906,0.8901505470275879,0.23792682588100433
6,c,-0.7880972623825073,0.9294679760932922,0.8241814374923706
7,c,-0.8160701990127563,0.899753749370575,0.8750382661819458
8,c,-0.8147855997085571,0.808185338973999,0.8829397559165955
9,c,-0.8103427290916443,0.5672691464424133,0.8840140700340271
10,c,-0.7983343601226807,0.06393404304981232,0.8784623146057129
11,c,-0.7703453302383423,-0.5246523022651672,0.858608067035675
12,a,0.4632934629917145,-0.6766695976257324,0.7577551007270813
13,a,0.7797109484672546,-0.6666771173477173,0.6420584917068481
14,b,0.824072003364563,0.17623670399188995,0.13107916712760925
15,b,0.7017244696617126,0.7116502523422241,0.14884579181671143
16,b,0.3437266945838928,0.8638712763786316,0.19806477427482605
17,b,-0.366853803396225,0.8910960555076599,0.23775003850460052
18,c,-0.7742765545845032,0.9328694939613342,0.8356196880340576
19,c,-0.8152579069137573,0.905846118927002,0.8853994011878967
20,c,-0.8150424957275391,0.8248519897460938,0.8891224265098572
21,c,-0.8111676573753357,0.6086791753768921,0.8879284858703613
22,c,-0.8004801273345947,0.13770312070846558,0.8818591833114624
23,c,-0.7747805714607239,-0.4666750133037567,0.863327145576477
24,a,0.4624336361885071,-0.6639228463172913,0.7633064389228821
25,a,0.78044193983078,-0.6605502963066101,0.6442066431045532
26,a,0.8674453496932983,-0.452788770198822,0.6055803298950195
27,b,0.9170692563056946,0.4091334640979767,0.13928869366645813
28,b,0.9015336632728577,0.7911813855171204,0.16238659620285034
29,b,0.8439805507659912,0.8852760195732117,0.19497749209403992
30,b,0.6984121799468994,0.9036396145820618,0.20855793356895447
31,b,0.32886403799057007,0.9052802324295044,0.2194390892982483
32,b,-0.3837466239929199,0.9001975655555725,0.24317066371440887
33,c,-0.7765239477157593,0.9469019770622253,0.8341507315635681
34,c,-0.8159904479980469,0.9463595151901245,0.8840178847312927
35,c,-0.8169432282447815,0.9432500600814819,0.8890578150749207
36,c,-0.8167763352394104,0.9337418675422668,0.8903569579124451
37,c,-0.8163251876831055,0.9051543474197388,0.8908520340919495
38,c,-0.8149831295013428,0.8227989077568054,0.8905653357505798
39,c,-0.8110641837120056,0.6034281849861145,0.8886474967002869
40,c,-0.8002178072929382,0.12800773978233337,0.8821390271186829
41,c,-0.7742171287536621,-0.4747605621814728,0.8631393313407898
42,a,0.46273282170295715,-0.6657732129096985,0.7629357576370239
43,a,0.7804185152053833,-0.6613708734512329,0.6441423892974854
44,a,0.8673945069313049,-0.45348620414733887,0.6056154370307922
45,a,0.9059878587722778,-0.18341459333896637,0.6220604777336121
46,b,0.9508799314498901,0.5792744755744934,0.15814454853534698
47,b,0.9526370167732239,0.8377732038497925,0.17577426135540009
48,b,0.9430844187736511,0.8956704139709473,0.19756071269512177
49,b,0.9150630235671997,0.9071037173271179,0.20401589572429657
50,b,0.8569795489311218,0.9090098142623901,0.20633593201637268
51,b,0.7279239892959595,0.9086186289787292,0.20946471393108368
52,b,0.4041798412799835,0.906751811504364,0.2169896960258484
53,b,-0.2815091013908386,0.9016568064689636,0.23730763792991638
54,c,-0.7638729214668274,0.9482362866401672,0.8304466009140015
55,c,-0.8151508569717407,0.9478022456169128,0.8842987418174744
56,c,-0.8169501423835754,0.9475807547569275,0.8895147442817688
57,c,-0.8169757723808289,0.9472271203994751,0.8907306790351868
58,c,-0.816956102848053,0.9460278749465942,0.8913417458534241
59,c,-0.8169006705284119,0.9422172904014587,0.8916749954223633
60,c,-0.8167234063148499,0.930489182472229,0.8917973637580872
61,c,-0.8161754012107849,0.8955237865447998,0.8916374444961548
62,c,-0.8145312070846558,0.7958496809005737,0.890835165977478
63,c,-0.8097664713859558,0.5366860032081604,0.8882049322128296
64,c,-0.7967917919158936,0.012073918245732784,0.8800339698791504
65,c,-0.7672352194786072,-0.5614888072013855,0.8575574159622192
66,a,0.46453455090522766,-0.6845752596855164,0.7562130093574524
67,a,0.7796359062194824,-0.6703274846076965,0.6420359015464783
68,b,0.8243762850761414,0.1708279699087143,0.13108821213245392
69,b,0.7028766870498657,0.7096940875053406,0.1486712545156479
70,b,0.34708040952682495,0.8634470701217651,0.19804032146930695
71,b,-0.36252546310424805,0.891063928604126,0.23770609498023987
72,c,-0.7738031148910522,0.932918131351471,0.8358266353607178
73,c,-0.8152281641960144,0.9059056043624878,0.8856337666511536
74,c,-0.8150438666343689,0.8250088095664978,0.8892707824707031
75,c,-0.8111756443977356,0.6090701818466187,0.8880197405815125
76,c,-0.8005006313323975,0.13841994106769562,0.8819233775138855
77,c,-0.7748235464096069,-0.46607694029808044,0.863391101360321
