step,input,h0,h1,h2
0,a,0.39669862389564514,-0.07823976129293442,0.1401202529668808
1,a,0.47675371170043945,-0.08758466690778732,0.2683536112308502
2,b,0.5747733116149902,0.16404233872890472,0.10046380013227463
3,b,0.5263816714286804,0.29074397683143616,0.01105090044438839
4,b,0.512157678604126,0.33868899941444397,-0.052104152739048004
5,b,0.5054030418395996,0.3603779077529907,-0.08753906190395355
6,c,-0.3010282516479492,0.0426967516541481,-0.33148396015167236
7,c,-0.5275322794914246,-0.20930886268615723,-0.45242270827293396
8,c,-0.5771893858909607,-0.3290785253047943,-0.4932989776134491
9,c,-0.5830985903739929,-0.39689815044403076,-0.510051965713501
10,c,-0.5797263979911804,-0.43818172812461853,-0.5177416801452637
11,c,-0.5754425525665283,-0.46433886885643005,-0.5215930342674255
12,a,0.2111385315656662,-0.36772483587265015,-0.33211851119995117
13,b,0.4912089407444,-0.14045114815235138,-0.22030892968177795
14,b,0.5035450458526611,0.0875231996178627,-0.15673206746578217
15,c,-0.3066108226776123,-0.20026156306266785,-0.3431547284126282
16,c,-0.5154496431350708,-0.32771167159080505,-0.4424360692501068
17,c,-0.5636292099952698,-0.39402955770492554,-0.4852772355079651
18,a,0.21227233111858368,-0.312336802482605,-0.2920207381248474
19,a,0.4551440179347992,-0.2884455621242523,0.00900838803499937
20,a,0.4975096583366394,-0.20726394653320312,0.20791734755039215
21,b,0.575620710849762,0.10097632557153702,0.07383722811937332
22,b,0.5259761214256287,0.2582576870918274,-0.0005611099768429995
23,b,0.5119869709014893,0.3219968378543854,-0.056436777114868164
24,b,0.505449116230011,0.3512990176677704,-0.08890154957771301
25,b,0.5019181966781616,0.3652503490447998,-0.10619696229696274
26,b,0.5000280737876892,0.3720678389072418,-0.11510102450847626
27,c,-0.30713164806365967,0.056685637682676315,-0.3458229601383209
28,c,-0.530480682849884,-0.20167312026023865,-0.4603067934513092
29,c,-0.5788236856460571,-0.3248729705810547,-0.4975164532661438
30,c,-0.5840384364128113,-0.39445844292640686,-0.5123947262763977
31,c,-0.5802729725837708,-0.4366982579231262,-0.519093930721283
32,c,-0.5757655501365662,-0.46339985728263855,-0.5223965048789978
33,c,-0.5722454786300659,-0.48083287477493286,-0.52411949634552
34,c,-0.5697734355926514,-0.4925207793712616,-0.5250330567359924
35,c,-0.5680846571922302,-0.5005298852920532,-0.5255052447319031
36,a,0.2185390293598175,-0.39847007393836975,-0.3398580551147461
37,a,0.45979422330856323,-0.3642265796661377,-0.02628420665860176
38,a,0.5009959936141968,-0.259274423122406,0.18833674490451813
39,b,0.5744553804397583,0.06914625316858292,0.06576880067586899
40,b,0.5258023738861084,0.24173934757709503,-0.0036265109665691853
41,b,0.5120538473129272,0.3137910068035126,-0.05720748379826546
42,b,0.5055677890777588,0.3469763398170471,-0.08891125023365021
43,b,0.5020322203636169,0.36288702487945557,-0.10601699352264404
44,b,0.5001135468482971,0.3707510232925415,-0.11491593718528748
45,c,-0.3070581555366516,0.05500500649213791,-0.34562188386917114
46,c,-0.5303682088851929,-0.202553853392601,-0.4600885510444641
47,c,-0.5787160396575928,-0.3253527581691742,-0.4973791837692261
48,c,-0.5839620232582092,-0.3947380781173706,-0.5123134255409241
49,c,-0.5802238583564758,-0.4368692934513092,-0.5190455317497253
50,c,-0.5757350325584412,-0.463508665561676,-0.5223671793937683
51,c,-0.5722264647483826,-0.48090440034866333,-0.5241013169288635
52,c,-0.5697612762451172,-0.4925690293312073,-0.525021493434906
53,c,-0.5680767297744751,-0.5005632638931274,-0.5254979133605957
54,a,0.2185453176498413,-0.39849984645843506,-0.33985424041748047
55,a,0.4597959816455841,-0.3642539381980896,-0.02628292329609394
56,b,0.5443187355995178,-0.03629403933882713,-0.04834602028131485
57,b,0.516718864440918,0.17457211017608643,-0.06668110936880112
58,b,0.5085020065307617,0.2771667242050171,-0.08749149739742279
59,b,0.5040327310562134,0.32644662261009216,-0.10237320512533188
60,c,-0.3033196032047272,0.0030720208305865526,-0.3357897698879242
61,c,-0.5262681245803833,-0.22936409711837769,-0.45164626836776733
62,c,-0.5751803517341614,-0.3399658501148224,-0.4923059642314911
63,c,-0.5815393924713135,-0.4032739996910095,-0.5093572735786438
64,c,-0.5786897540092468,-0.4421025514602661,-0.5172947645187378
65,c,-0.5747843384742737,-0.46684518456459045,-0.521308958530426
