step,input,h0,h1,h2
0,a,0.5364464521408081,-0.48923975229263306,0.4005850851535797
1,a,0.7992817163467407,-0.5795090794563293,0.51873779296875
2,b,0.8310787081718445,0.34567752480506897,0.11765798181295395
3,b,0.6848596334457397,0.7908756136894226,0.16291429102420807
4,b,0.23975250124931335,0.8994185328483582,0.21317294239997864
5,b,-0.5151216983795166,0.9141313433647156,0.24389085173606873
6,c,-0.7896509766578674,0.9493064880371094,0.8157654404640198
7,c,-0.8154314756393433,0.9274695515632629,0.8518947958946228
8,c,-0.8140246272087097,0.852085530757904,0.8545814752578735
9,c,-0.810157299041748,0.6293230652809143,0.8536229729652405
10,c,-0.7985976934432983,0.09814006835222244,0.8477575778961182
11,c,-0.7680783867835999,-0.5599881410598755,0.8265761137008667
12,a,0.4877121150493622,-0.6822842359542847,0.7093943953514099
13,a,0.7910683155059814,-0.674698531627655,0.6429716348648071
14,a,0.8761509656906128,-0.4834088683128357,0.6318877339363098
15,a,0.9127885103225708,-0.22548925876617432,0.6564573645591736
16,b,0.9569706916809082,0.5854079127311707,0.17002303898334503
17,b,0.9595631957054138,0.8590198755264282,0.20061060786247253
18,b,0.9517759680747986,0.9170455932617188,0.22764542698860168
19,b,0.9262746572494507,0.9275972247123718,0.234511137008667
20,b,0.8715217709541321,0.9291852116584778,0.23575761914253235
21,b,0.7452914714813232,0.9287934899330139,0.23685327172279358
22,b,0.4140181541442871,0.9271116852760315,0.2402256727218628
23,b,-0.30723366141319275,0.9223517775535583,0.25008195638656616
24,c,-0.7719686031341553,0.9617671370506287,0.8261377215385437
25,c,-0.8149124979972839,0.961918830871582,0.8605426549911499
26,c,-0.8156809210777283,0.9617528319358826,0.860027551651001
27,c,-0.8156376481056213,0.9615575075149536,0.8586432933807373
28,c,-0.8156181573867798,0.9608988761901855,0.8578587770462036
29,c,-0.8155836462974548,0.9586691856384277,0.8574310541152954
30,c,-0.8154729008674622,0.9512275457382202,0.8571653962135315
31,c,-0.815105140209198,0.9269640445709229,0.8568894267082214
32,c,-0.8139026761054993,0.850398063659668,0.8562918305397034
33,c,-0.8100666999816895,0.6245389580726624,0.8544525504112244
34,c,-0.7983483076095581,0.08872838318347931,0.8480666875839233
35,c,-0.767499566078186,-0.5666248798370361,0.8263607025146484
36,a,0.48791056871414185,-0.6832486987113953,0.7090601921081543
37,a,0.7910845875740051,-0.6750372052192688,0.6430070400238037
38,b,0.8434536457061768,0.25982561707496643,0.13610675930976868
39,b,0.7249394655227661,0.7646031379699707,0.17093804478645325
40,b,0.35819926857948303,0.8948795199394226,0.2214459478855133
41,b,-0.38624146580696106,0.9151984453201294,0.24918359518051147
42,c,-0.7804741263389587,0.9521822929382324,0.8285009264945984
43,c,-0.8150169253349304,0.9337886571884155,0.8608549237251282
44,c,-0.8143279552459717,0.8714360594749451,0.8595975637435913
45,c,-0.8111467957496643,0.6842899322509766,0.8566823601722717
46,c,-0.8015221357345581,0.21163839101791382,0.8508201241493225
47,c,-0.7750439047813416,-0.4700888693332672,0.8326817154884338
48,a,0.4860874116420746,-0.6686474084854126,0.7167786955833435
49,a,0.7914678454399109,-0.6696258783340454,0.644303023815155
50,b,0.8431352972984314,0.2664015293121338,0.1362895369529724
51,b,0.7233818769454956,0.7667425870895386,0.17125846445560455
52,b,0.35359203815460205,0.895293653011322,0.22150364518165588
53,b,-0.3920714557170868,0.9152073264122009,0.24918054044246674
54,c,-0.7810197472572327,0.952105700969696,0.8281903266906738
55,c,-0.8150457739830017,0.9336585402488708,0.8605789542198181
56,c,-0.8143227696418762,0.8710423707962036,0.8594356775283813
57,c,-0.8111265301704407,0.683158814907074,0.856586754322052
58,c,-0.8014621734619141,0.20919238030910492,0.8507402539253235
59,c,-0.7748963236808777,-0.4722411036491394,0.8325457572937012
60,a,0.48613250255584717,-0.6689949035644531,0.716600239276886
61,a,0.7914575338363647,-0.6697515845298767,0.6442647576332092
62,b,0.8431393504142761,0.26625004410743713,0.13628347218036652
63,b,0.7234092354774475,0.7666932940483093,0.1712498515844345
64,b,0.3536742031574249,0.8952838778495789,0.22150130569934845
65,b,-0.39196842908859253,0.9152066707611084,0.24918022751808167
66,c,-0.7810102701187134,0.9521063566207886,0.8281958699226379
67,c,-0.8150452375411987,0.9336587190628052,0.8605838418006897
68,c,-0.8143226504325867,0.8710426688194275,0.8594385981559753
69,c,-0.8111265301704407,0.6831597089767456,0.8565882444381714
70,c,-0.8014622926712036,0.2091943472623825,0.8507410287857056
71,c,-0.7748963832855225,-0.4722394049167633,0.8325462937355042
